xpath,version_start,version_end,line_number
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementBoth,2012,2012,[AccountantCompileOrReviewBasis] Part XII Line 2a; [FinancialStatementBoth] Part XII Lines 2a and 2b
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementConsolidated,2012,2012,[AccountantCompileOrReviewBasis] Part XII Line 2a; [FinancialStatementConsolidated] Part XII Lines 2a and 2b
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementSeparate,2012,2012,[AccountantCompileOrReviewBasis] Part XII Line 2a; [FinancialStatementSeparate] Part XII Lines 2a and 2b
/IRS990/AccountantCompileOrReviewInd,2013,,[AccountantCompileOrReviewInd] Part XII Line 2a
/IRS990/AccountantCompileOrReview,2009,2009,[AccountantCompileOrReview] Part XI Line 2a
/IRS990/AccountantCompileOrReview,2010,2012,[AccountantCompileOrReview] Part XII Line 2a
/IRS990/AccountsPayableAccrExpnssGrp/BOYAmt,2013,,[AccountsPayableAccrExpnssGrp] Part X Line 17; [BOYAmt] Part X Column (A)
/IRS990/AccountsPayableAccrExpnssGrp/EOYAmt,2013,,[AccountsPayableAccrExpnssGrp] Part X Line 17; [EOYAmt] Part X Column (B)
/IRS990/AccountsPayableAccruedExpenses/BOY,2009,2012,[AccountsPayableAccruedExpenses] Part X Line 17; [BOY] Part X Column (A)
/IRS990/AccountsPayableAccruedExpenses/EOY,2009,2012,[AccountsPayableAccruedExpenses] Part X Line 17; [EOY] Part X Column (B)
/IRS990/AccountsReceivable/BOY,2009,2012,[AccountsReceivable] Part X Line 4; [BOY] Part X Column (A)
/IRS990/AccountsReceivable/EOY,2009,2012,[AccountsReceivable] Part X Line 4; [EOY] Part X Column (B)
/IRS990/AccountsReceivableGrp/BOYAmt,2013,,[AccountsReceivableGrp] Part X Line 4; [BOYAmt] Part X Column (A)
/IRS990/AccountsReceivableGrp/EOYAmt,2013,,[AccountsReceivableGrp] Part X Line 4; [EOYAmt] Part X Column (B)
