parent_sked,parent_sked_part,in_a_group,db_table,ordering,db_name,xpath,irs_type,db_type,line_number,description,version_start,version_end
IRS990,part_xii,False,part_xii,211,AccntntCmplOrRvwInd,/IRS990/AccountantCompileOrReviewInd,BooleanType,String(length=5),Part XII Line 2a,Accountant provide compilation or review?,2013,
IRS990,part_x,False,part_x,283,AccntsPyblAccrExpnss_BOYAmt,/IRS990/AccountsPayableAccrExpnssGrp/BOYAmt,USAmountType,BigInteger,Part X Line 17; Part X Column (A),Accounts payable and accrued expenses; Beginnning of year,2013,
IRS990,part_x,False,part_x,107,AccntsPyblAccrExpnss_EOYAmt,/IRS990/AccountsPayableAccrExpnssGrp/EOYAmt,USAmountType,BigInteger,Part X Line 17; Part X Column (B),Accounts payable and accrued expenses; Ending of year,2013,
IRS990,part_x,False,part_x,302,AccntsRcvbl_BOYAmt,/IRS990/AccountsReceivableGrp/BOYAmt,USAmountType,BigInteger,Part X Line 4; Part X Column (A),"Accounts receivable, net; Beginnning of year",2013,
IRS990,part_x,False,part_x,120,AccntsRcvbl_EOYAmt,/IRS990/AccountsReceivableGrp/EOYAmt,USAmountType,BigInteger,Part X Line 4; Part X Column (B),"Accounts receivable, net; Ending of year",2013,
IRS990,part_xii,False,part_xii,459,AcctCmplOrRvwBss_CnslAndSpBssFnclStmtInd,/IRS990/AcctCompileOrReviewBasisGrp/ConsolAndSepBasisFinclStmtInd,CheckboxType,String(length=1),Part XII Line 2a; Part XII Lines 2a and 2b,Basis in which the financial statements were compiled or reviewed by independent accountant; Financial statement issued on consolidated and separate basis,2013,
IRS990,part_xii,False,part_xii,280,AcctCmplOrRvwBss_CnsldtdBssFnclStmtInd,/IRS990/AcctCompileOrReviewBasisGrp/ConsolidatedBasisFinclStmtInd,CheckboxType,String(length=1),Part XII Line 2a; Part XII Lines 2a and 2b,Basis in which the financial statements were compiled or reviewed by independent accountant; Financial statement issued on consolidated basis,2013,
IRS990,part_xii,False,part_xii,271,AcctCmplOrRvwBss_SprtBssFnclStmtInd,/IRS990/AcctCompileOrReviewBasisGrp/SeparateBasisFinclStmtInd,CheckboxType,String(length=1),Part XII Line 2a; Part XII Lines 2a and 2b,Basis in which the financial statements were compiled or reviewed by independent accountant; Financial statement issued on separate basis,2013,
IRS990,part_iv,False,part_iv,500,ActvtsCndctdPrtshpInd,/IRS990/ActivitiesConductedPrtshpInd,,Text,Part IV Line 37,Activities conducted thru partnership?,2013,
IRS990,part_iii,False,part_iii,12,ActvtyCd,/IRS990/ActivityCd,IntegerNNType,BigInteger,Part III Line 4a,Activity code,2013,
IRS990,part_i,False,part_i,523,ActvtyOrMssnDsc,/IRS990/ActivityOrMissionDesc,ShortExplanationType,Text,Part I Line 1,Activity or mission description,2013,
IRS990,part_0,False,part_0,106,AddrssChngInd,/IRS990/AddressChangeInd,CheckboxType,String(length=1),B,Indicates this return has an address change,2013,
IRS990,part_ix,False,part_ix,69,Advrtsng_FndrsngAmt,/IRS990/AdvertisingGrp/FundraisingAmt,USAmountType,BigInteger,Part IX Line 12; col (D),Advertising; Fundraising,2013,
IRS990,part_ix,False,part_ix,446,Advrtsng_MngmntAndGnrlAmt,/IRS990/AdvertisingGrp/ManagementAndGeneralAmt,USAmountType,BigInteger,Part IX Line 12; col (C),Advertising; Management and general,2013,
IRS990,part_ix,False,part_ix,109,Advrtsng_PrgrmSrvcsAmt,/IRS990/AdvertisingGrp/ProgramServicesAmt,USAmountType,BigInteger,Part IX Line 12; col (B),Advertising; Program services,2013,
